Total Bathrooms,AC,NUM_UNITS,ROOMS,BEDRM,RMDL_10,SALEDATE,PRICE,SALE_NUM,GBA,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,ZIPCODE,Census,X,Y,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,Population_size,Percent_White,Percent_Black,Percent_AmInd,Percent_Asian,Percent_HI_PI,Percent_Other_mixed,Percent_Hispanic,Percent_18plus,Total_Hounting_Units,Percent_Occupied,Percent_Vacant,FAGI_Total,FAGI_Median,Crime,,,,
2,Y,1,4,2,Yes,3/2/16 0:00,283000,3,1044,Good,1,0,3025,614 CHESAPEAKE STREET SE,20032,9800.02,-76.99700421,38.82966242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0.006497342,0.983461311,0.000590667,0,0,0.011222682,0.015948021,0.670998228,848,0.798349057,0.201650943,17489336,21172,658.0609499,,,,
2,Y,1,5,3,Yes,5/24/16 0:00,275000,7,896,Very Good,1,0,2750,627 ATLANTIC STREET SE,20032,9800.02,-76.99687341,38.83030707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0.006497342,0.983461311,0.000590667,0,0,0.011222682,0.015948021,0.670998228,848,0.798349057,0.201650943,17489336,21172,658.0609499,,,,
2,N,1,6,3,No,6/7/16 0:00,192000,3,896,Average,1,0,2291,703 ATLANTIC STREET SE,20032,9800.02,-76.99687341,38.83030707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0.006497342,0.983461311,0.000590667,0,0,0.011222682,0.015948021,0.670998228,848,0.798349057,0.201650943,17489336,21172,658.0609499,,,,
1.5,Y,1,6,3,Yes,8/9/16 0:00,181000,2,1312,Good,1,0,2420,618 BRANDYWINE STREET SE,20032,9800.02,-76.99687341,38.83030707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0.006497342,0.983461311,0.000590667,0,0,0.011222682,0.015948021,0.670998228,848,0.798349057,0.201650943,17489336,21172,658.0609499,,,,
1,Y,1,6,3,No,4/29/16 0:00,176000,2,1024,Good,1,0,2420,638 BRANDYWINE STREET SE,20032,9800.02,-76.99687341,38.83030707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0.006497342,0.983461311,0.000590667,0,0,0.011222682,0.015948021,0.670998228,848,0.798349057,0.201650943,17489336,21172,658.0609499,,,,
1.5,Y,1,6,3,Yes,1/19/16 0:00,100500,2,1216,Good,1,0,3808,819 YUMA STREET SE,20032,9800.02,-76.99374452,38.83181778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0.006497342,0.983461311,0.000590667,0,0,0.011222682,0.015948021,0.670998228,848,0.798349057,0.201650943,17489336,21172,658.0609499,,,,
4,N,4,12,4,Yes,3/17/16 0:00,260000,4,2540,Good,4,0,3384,4336 HALLEY TERRACE SE,20032,9800.1,-77.0064523,38.8269748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,0.005983247,0.979656961,0.001196649,0.000398883,0,0.020343039,0.008775429,0.691663343,1171,0.941929974,0.058070026,25212674,21337,879.1487579,,,,
4,Y,4,12,6,Yes,6/28/16 0:00,230000,3,2800,Good,4,0,3645,4002 SOUTH CAPITOL STREET SE,20032,9800.1,-77.00649378,38.83041027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,0.005983247,0.979656961,0.001196649,0.000398883,0,0.020343039,0.008775429,0.691663343,1171,0.941929974,0.058070026,25212674,21337,879.1487579,,,,
1.5,N,1,6,3,Yes,1/19/16 0:00,175000,2,1280,Good,1,0,6000,4111 1ST STREET SE,20032,9800.1,-77.00649378,38.83041027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,0.005983247,0.979656961,0.001196649,0.000398883,0,0.020343039,0.008775429,0.691663343,1171,0.941929974,0.058070026,25212674,21337,879.1487579,,,,
4,N,4,12,4,No,3/16/16 0:00,102576,7,2556,Good,4,0,3940,4333 HALLEY TERRACE SE,20032,9800.1,-77.0064523,38.8269748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,0.005983247,0.979656961,0.001196649,0.000398883,0,0.020343039,0.008775429,0.691663343,1171,0.941929974,0.058070026,25212674,21337,879.1487579,,,,
3,Y,3,10,4,Yes,4/13/16 0:00,375000,3,1600,Good,3,0,7375,178 JOLIET STREET SW,20032,10900,-77.00616788,38.82057613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,0.018062909,0.951417004,0.001868577,0.004671442,0,0.032388664,0.014637185,0.733727811,1366,0.849926794,0.150073206,27893573,21980,81.88363595,,,,
3,N,3,9,5,No,12/19/16 0:00,225000,2,1600,Average,3,0,6690,166 JOLIET STREET SW,20032,10900,-77.00616788,38.82057613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,0.018062909,0.951417004,0.001868577,0.004671442,0,0.032388664,0.014637185,0.733727811,1366,0.849926794,0.150073206,27893573,21980,81.88363595,,,,
2,Y,2,10,4,Yes,6/27/16 0:00,185000,3,1600,Very Good,2,0,5302,111 JOLIET STREET SW,20032,10900,-77.00634722,38.82179948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,0.018062909,0.951417004,0.001868577,0.004671442,0,0.032388664,0.014637185,0.733727811,1366,0.849926794,0.150073206,27893573,21980,81.88363595,,,,
2,Y,2,10,4,Yes,5/16/16 0:00,150000,6,1600,Very Good,2,0,5464,4773 SOUTH CAPITOL TERRACE SW,20032,10900,-77.00840027,38.82189368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,0.018062909,0.951417004,0.001868577,0.004671442,0,0.032388664,0.014637185,0.733727811,1366,0.849926794,0.150073206,27893573,21980,81.88363595,,,,
3.5,Y,1,12,3,No,7/1/16 0:00,527350,4,1943,Very Good,1,1,5076,1830 WOODMONT PLACE SE,20020,7500.04,-76.97586517,38.86375201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3,Y,1,12,4,No,1/6/16 0:00,511950,4,1613,Very Good,1,0,4976,1832 WOODMONT PLACE SE,20020,7500.04,-76.97586517,38.86375201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,11,3,No,11/9/16 0:00,505000,6,1644,Very Good,1,1,4670,1834 WOODMONT PLACE SE,20020,7500.04,-76.97586517,38.86375201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
2,Y,1,6,3,Yes,6/7/16 0:00,477000,6,1832,Good,1,0,4680,1610 W STREET SE,20020,7500.04,-76.98064806,38.86355574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
2.5,Y,1,6,3,No,9/14/16 0:00,450000,5,2112,Good,1,0,2928,1616 U STREET SE,20020,7500.04,-76.98082484,38.86535615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
2.5,Y,1,6,3,No,9/14/16 0:00,450000,6,2112,Good,1,0,2928,1618 U STREET SE,20020,7500.04,-76.98082484,38.86535615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
2.5,Y,1,6,3,No,9/8/16 0:00,445000,5,2112,Good,1,0,2928,1622 U STREET SE,20020,7500.04,-76.98082484,38.86535615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,11/30/16 0:00,425000,6,1636,Good,1,0,3600,1770 W STREET SE,20020,7500.04,-76.98064806,38.86355574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,8/4/16 0:00,425000,6,1636,Good,1,0,3600,1778 W STREET SE,20020,7500.04,-76.98064806,38.86355574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,9,4,No,8/24/16 0:00,422200,6,1636,Good,1,0,3600,1776 W STREET SE,20020,7500.04,-76.98064806,38.86355574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
