Total Bathrooms,AC,NUM_UNITS,ROOMS,BEDRM,RMDL_10,SALEDATE,PRICE,SALE_NUM,GBA,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,ZIPCODE,Census,X,Y,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,Population_size,Percent_White,Percent_Black,Percent_AmInd,Percent_Asian,Percent_HI_PI,Percent_Other_mixed,Percent_Hispanic,Percent_18plus,Total_Hounting_Units,Percent_Occupied,Percent_Vacant,FAGI_Total,FAGI_Median,Crime,,,,
3.5,Y,1,6,3,Yes,6/20/16 0:00,837000,3,1312,Good,1,0,1683,1344 OAK STREET NW,20010,2900,-77.03171714,38.93373399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
3.5,Y,2,8,4,Yes,8/4/16 0:00,830000,4,1508,Good,2,1,1534,3546 ROCK CREEK CHURCH ROAD NW,20010,2900,-77.02692989,38.93433182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
3.5,Y,2,7,5,Yes,3/8/16 0:00,825000,3,1736,Good,2,0,1534,3531 10TH STREET NW,20010,2900,-77.02692989,38.93433182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
2.5,Y,1,7,3,No,8/15/16 0:00,766500,6,1502,Good,1,0,1963,1014 SPRING ROAD NW,20010,2900,-77.02792781,38.93512695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
3,N,2,6,4,Yes,9/23/16 0:00,731500,2,1522,Good,2,0,2258,3524 10TH STREET NW,20010,2900,-77.02779425,38.93387892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
2.5,Y,1,5,4,Yes,7/11/16 0:00,715000,3,1356,Good,2,0,1955,3628 NEW HAMPSHIRE AVENUE NW,20010,2900,-77.02569051,38.93489634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
1.5,Y,1,7,4,Yes,5/10/16 0:00,690000,2,1212,Good,1,0,1440,3608 11TH STREET NW,20010,2900,-77.02926161,38.93535702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
1.5,N,1,7,3,No,12/7/16 0:00,689000,6,1280,Average,1,0,1650,1341 MERIDIAN PLACE NW,20010,2900,-77.03171714,38.93373399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
2.5,Y,1,6,3,Yes,7/5/16 0:00,640000,3,1530,Good,1,0,1923,1018 SPRING ROAD NW,20010,2900,-77.02792781,38.93512695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
1.5,Y,1,7,3,No,5/4/16 0:00,615000,6,1664,Average,1,0,1417,3487 HOLMEAD PLACE NW,20010,2900,-77.03047764,38.9335661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
3,Y,1,7,4,Yes,3/1/16 0:00,592500,5,1526,Good,1,0,1992,1338 SPRING ROAD NW,20010,2900,-77.03175398,38.93573313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
1.5,N,1,6,3,No,1/20/16 0:00,584790,5,1000,Average,1,1,1500,3537 14TH STREET NW,20010,2900,-77.03175398,38.93573313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
1,N,1,6,3,No,12/5/16 0:00,570000,2,1244,Average,1,0,1967,1364 NEWTON STREET NW,20010,2900,-77.03178712,38.93232241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
1,N,1,6,3,No,7/1/16 0:00,550000,4,1736,Average,1,0,1933,906 SPRING ROAD NW,20010,2900,-77.02692989,38.93433182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
2.5,N,1,6,3,No,5/25/16 0:00,502500,2,1918,Average,1,0,2125,3644 13TH STREET NW,20010,2900,-77.03038382,38.93550964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
1.5,N,1,6,3,No,2/25/16 0:00,482210,4,1244,Average,1,0,1638,1354 NEWTON STREET NW,20010,2900,-77.03178712,38.93232241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677,2424.371807,,,,
4.5,Y,1,12,6,Yes,7/14/16 0:00,916000,4,2678,Good,2,1,5135,6815 9TH STREET NW,20012,10300,-77.02509126,38.97302922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
4,N,1,15,7,Yes,6/28/16 0:00,825000,2,2344,Good,1,1,10149,7120 PINEY BRANCH ROAD NW,20012,10300,-77.02205063,38.97653247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
3,Y,1,6,6,Yes,6/27/16 0:00,789000,5,1611,Good,1,1,11532,614 HIGHLAND AVENUE NW,20012,10300,-77.02342761,38.97428623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2,Y,1,6,3,Yes,4/18/16 0:00,750000,3,1843,Good,1,1,4900,704 FERN PLACE NW,20012,10300,-77.02316565,38.97781567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
3,Y,1,6,4,Yes,9/8/16 0:00,729000,4,2008,Good,1,2,3499,6808 PINEY BRANCH ROAD NW,20012,10300,-77.02386978,38.9729903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
3.5,Y,1,9,4,Yes,12/19/16 0:00,660000,4,1799,Good,1,1,5000,835 WHITTIER PLACE NW,20012,10300,-77.02529433,38.97194769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2,N,1,6,3,Yes,10/7/16 0:00,635000,3,1392,Good,1,1,4531,7212 7TH STREET NW,20012,10300,-77.02316565,38.97781567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2.5,N,1,6,4,Yes,12/6/16 0:00,630000,2,1541,Good,1,1,4988,705 FERN PLACE NW,20012,10300,-77.02334042,38.97884378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
1,N,1,4,2,No,7/27/16 0:00,525000,3,1027,Good,1,1,3950,811 DOGWOOD STREET NW,20012,10300,-77.02499083,38.97673426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2,Y,1,6,5,Yes,4/13/16 0:00,525000,2,1534,Average,1,1,5000,813 WHITTIER PLACE NW,20012,10300,-77.02529433,38.97194769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2.5,N,1,8,4,Yes,4/28/16 0:00,520000,2,1368,Good,1,1,4818,6934 9TH STREET NW,20012,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2.5,Y,1,7,3,Yes,12/6/16 0:00,510000,4,1280,Good,1,0,3040,803 FLORAL PLACE NW,20012,10300,-77.02580899,38.978456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2,Y,1,7,3,Yes,4/22/16 0:00,495000,2,1733,Good,1,0,6815,7449 7TH STREET NW,20012,10300,-77.02324309,38.98053946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2,Y,1,7,3,Yes,2/1/16 0:00,470000,2,2176,Average,1,0,4121,624 GERANIUM STREET NW,20012,10300,-77.02334042,38.97884378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
1.5,N,1,6,4,No,10/5/16 0:00,450000,3,1088,Good,1,0,2244,7540 8TH STREET NW,20012,10300,-77.02520738,38.98227639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2.5,Y,1,6,3,No,5/9/16 0:00,385000,3,1269,Average,1,0,6815,7441 7TH STREET NW,20012,10300,-77.02324309,38.98053946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
2.5,N,1,6,3,Yes,12/9/16 0:00,385000,5,1208,Good,1,0,2663,7500 EASTERN AVENUE NW,20012,10300,-77.02402126,38.98198933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
1,Y,1,7,3,No,11/14/16 0:00,249000,2,1281,Average,1,1,3800,702 BUTTERNUT STREET NW,20012,10300,-77.02386978,38.9729903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,0.227486665,0.600878569,0.01129589,0.021022906,0.000941324,0.141826169,0.165359272,0.839974898,1306,0.898162328,0.101837672,86842954,36933,207.5089523,,,,
3.5,Y,1,6,4,Yes,10/31/16 0:00,1005000,3,1822,Good,1,0,2700,1323 QUINCY STREET NW,20011,2500.02,-77.03113316,38.93810204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,6,4,Yes,9/21/16 0:00,950000,5,1904,Good,2,0,2655,1312 SHEPHERD STREET NW,20011,2500.02,-77.03123928,38.93925808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,8,4,Yes,11/4/16 0:00,949000,5,1752,Good,1,1,2000,3801 10TH STREET NW,20011,2500.02,-77.02636128,38.93784469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,7,4,Yes,2/1/16 0:00,925000,3,1600,Good,1,1,1666,1221 QUINCY STREET NW,20011,2500.02,-77.02792142,38.9380567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,6,4,Yes,12/22/16 0:00,918000,3,1572,Good,1,0,2000,3914 13TH STREET NW,20011,2500.02,-77.03123928,38.93925808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,7,5,Yes,8/17/16 0:00,915000,4,2054,Good,1,0,2603,1341 SHEPHERD STREET NW,20011,2500.02,-77.03121691,38.94015423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,2,7,4,Yes,11/15/16 0:00,856000,4,1354,Good,2,0,1753,4004 14TH STREET NW,20011,2500.02,-77.03362714,38.94028114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2.5,Y,1,6,3,Yes,4/20/16 0:00,855000,5,1828,Good,1,0,2050,1355 SPRING ROAD NW,20010,2500.02,-77.03098724,38.93717562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
4,N,4,12,4,No,3/11/16 0:00,853000,3,3030,Average,4,0,3450,907 QUINCY STREET NW,20011,2500.02,-77.02636128,38.93784469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,8,5,No,6/22/16 0:00,835000,5,1972,Good,2,0,3105,1323 RANDOLPH STREET NW,20011,2500.02,-77.03123928,38.93925808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
4,Y,2,9,4,No,3/18/16 0:00,825000,3,1822,Good,2,0,2700,1325 QUINCY STREET NW,20011,2500.02,-77.03113316,38.93810204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,8,3,Yes,7/12/16 0:00,825000,3,1728,Good,1,1,2561,1426 TAYLOR STREET NW,20011,2500.02,-77.03362714,38.94028114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,8,3,Yes,8/18/16 0:00,770000,4,2400,Good,1,2,3300,1425 SHEPHERD STREET NW,20011,2500.02,-77.03362714,38.94028114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,7,3,Yes,4/26/16 0:00,769000,3,1462,Good,1,0,2040,4021 13TH STREET NW,20011,2500.02,-77.0285359,38.93997229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3,Y,2,6,4,No,12/20/16 0:00,735000,5,1742,Good,2,1,2180,1508 UPSHUR STREET NW,20011,2500.02,-77.03530225,38.94100814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2.5,Y,1,7,3,Yes,5/19/16 0:00,725300,2,1372,Good,1,2,2160,4128 ARKANSAS AVENUE NW,20011,2500.02,-77.03530225,38.94100814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2,Y,1,7,3,No,6/15/16 0:00,725000,3,2058,Average,1,2,2160,4116 ARKANSAS AVENUE NW,20011,2500.02,-77.03530225,38.94100814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2.5,Y,1,6,3,Yes,11/7/16 0:00,713000,2,1368,Good,1,0,1030,1044 QUEBEC PLACE NW,20010,2500.02,-77.02830248,38.93707743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2,N,1,7,3,Yes,8/19/16 0:00,710000,3,1796,Good,1,0,1800,3708 13TH STREET NW,20010,2500.02,-77.03098724,38.93717562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3,N,1,6,3,No,4/18/16 0:00,700000,2,1770,Average,1,0,2700,1346 RANDOLPH STREET NW,20011,2500.02,-77.03113316,38.93810204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3,Y,1,4,4,No,9/19/16 0:00,699999,4,1452,Good,1,0,2100,4016 13TH STREET NW,20011,2500.02,-77.03121691,38.94015423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
3.5,Y,1,7,4,Yes,9/8/16 0:00,699900,4,1368,Good,1,0,1048,1034 QUEBEC PLACE NW,20010,2500.02,-77.02830248,38.93707743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2,Y,1,6,3,No,6/29/16 0:00,672500,7,1304,Good,1,0,1437,1381 QUINCY STREET NW,20011,2500.02,-77.03113316,38.93810204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2,Y,1,8,4,Yes,5/24/16 0:00,665000,4,1500,Good,1,0,2940,930 SHEPHERD STREET NW,20011,2500.02,-77.02655351,38.93953263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2,N,1,6,4,Yes,11/7/16 0:00,660000,6,1296,Good,1,1,1055,1031 QUEBEC PLACE NW,20010,2500.02,-77.02830248,38.93707743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2,Y,1,6,3,No,5/31/16 0:00,660000,3,1244,Average,2,0,1438,1385 QUINCY STREET NW,20011,2500.02,-77.03113316,38.93810204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
1,N,1,8,4,No,8/2/16 0:00,655500,5,1894,Average,1,0,2954,1422 SHEPHERD STREET NW,20011,2500.02,-77.03334503,38.93947054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2.5,Y,1,6,3,Yes,9/29/16 0:00,650000,5,1434,Average,1,0,1663,3907 KANSAS AVENUE NW,20011,2500.02,-77.02655351,38.93953263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2,N,1,6,3,Yes,1/6/16 0:00,648999,2,1742,Good,1,1,2180,1524 UPSHUR STREET NW,20011,2500.02,-77.03530225,38.94100814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2,N,1,10,4,Yes,2/12/16 0:00,640000,3,1729,Average,2,0,2928,1227 SHEPHERD STREET NW,20011,2500.02,-77.0285359,38.93997229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
1,N,1,6,3,No,3/1/16 0:00,637000,3,1536,Good,1,0,2502,1327 SPRING ROAD NW,20010,2500.02,-77.03098724,38.93717562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
2.5,N,1,7,3,No,8/22/16 0:00,618500,3,1258,Average,1,0,1752,3716 9TH STREET NW,20010,2500.02,-77.02552852,38.93729281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
1.5,N,1,9,4,No,12/14/16 0:00,600000,3,1216,Average,1,0,2588,1221 RANDOLPH STREET NW,20011,2500.02,-77.02874854,38.93935283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
1,Y,1,9,3,Yes,6/15/16 0:00,593000,3,1080,Good,1,0,1196,1214 SHEPHERD STREET NW,20011,2500.02,-77.02874854,38.93935283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
1,N,1,6,3,No,12/12/16 0:00,590000,2,1080,Average,1,0,1080,1015 QUEBEC PLACE NW,20010,2500.02,-77.02830248,38.93707743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
1,N,1,7,3,No,11/14/16 0:00,575000,2,1216,Average,1,1,2015,1232 QUINCY STREET NW,20011,2500.02,-77.02830248,38.93707743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
1.5,N,1,7,3,No,11/9/16 0:00,560000,2,1230,Average,1,0,1508,3740 9TH STREET NW,20010,2500.02,-77.02552852,38.93729281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
1,N,1,5,2,Yes,10/3/16 0:00,559000,3,1048,Average,1,1,2213,4101 ARKANSAS AVENUE NW,20011,2500.02,-77.03343894,38.94143906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0.249958145,0.417880462,0.006529382,0.015235225,0.0008371,0.299347062,0.423907584,0.807969195,2415,0.89068323,0.10931677,184029268,37513,1889.637136,,,,
