BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,YR_RMDL,SALEDATE,PRICE,SALE_NUM,GBA,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,CENSUS_TRACT
2,1,Y,,6,3,,1/4/16 0:00,,5,,,,,,,,1,2330,,,,20016,801
1,1,Y,,4,1,,1/4/16 0:00,620000,2,,,,,,,,0,213,,,,20037,5500
2,0,Y,,4,2,1987,1/4/16 0:00,220300,4,,,,,,,,0,192,,,,20037,5500
2,0,N,,5,2,,1/4/16 0:00,660000,3,,,,,,,,0,363,,,,20005,5201
1,0,Y,,2,0,1978,1/4/16 0:00,268421,3,,,,,,,,0,92,,,,20036,5301
2,0,Y,,4,2,1998,1/4/16 0:00,600000,2,,,,,,,,1,395,,,,20005,5201
2,0,Y,,4,2,,1/4/16 0:00,639000,4,,,,,,,,0,463,,,,20009,4300
1,0,Y,,3,1,,1/4/16 0:00,,4,,,,,,,,0,158,,,,20036,10700
1,0,N,,4,1,,1/4/16 0:00,25000,2,,,,,,,,0,1236,,,,20020,7603
3,1,Y,,5,3,,1/4/16 0:00,615000,2,,,,,,,,0,924,,,,20002,7901
2,0,Y,,4,2,,1/4/16 0:00,399000,2,,,,,,,,0,600,,,,20007,300
1,0,Y,,4,1,1978,1/4/16 0:00,275000,3,,,,,,,,0,539,,,,20016,801
1,0,Y,,4,2,,1/4/16 0:00,110000,3,,,,,,,,0,673,,,,20020,7604
1,0,N,,5,2,,1/4/16 0:00,66000,2,,,,,,,,0,1438,,,,20020,7603
1,0,Y,,3,1,,1/4/16 0:00,429900,6,,,,,,,,0,231,,,,20005,10100
2,0,Y,,4,2,2015,1/4/16 0:00,434000,2,,,,,,,,0,654,,,,20007,701
2,0,Y,,4,1,,1/4/16 0:00,730000,3,,,,,,,,0,116,,,,20001,10100
2,1,Y,,4,2,2015,1/4/16 0:00,,2,,,,,,,,0,1203,,,,20001,4902
1,0,Y,,4,1,,1/4/16 0:00,116200,2,,,,,,,,0,203,,,,20009,3700
1,0,Y,,3,1,2014,1/4/16 0:00,263000,2,,,,,,,,0,260,,,,20002,8702
1,0,Y,,3,1,2008,1/4/16 0:00,319650,3,,,,,,,,0,297,,,,20011,2101
2,0,Y,,4,1,2003,1/4/16 0:00,,4,,,,,,,,1,212,,,,20005,5002
2,0,Y,1,6,3,2016,1/5/16 0:00,778000,5,1350,Average,Good,Common Brick,Built Up,Hardwood,1,1,827,1704 SEATON STREET NW,WASHINGTON,DC,20009,4201
1,0,N,1,6,3,,1/5/16 0:00,530000,3,892,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1157,413 RICHARDSON PLACE NW,WASHINGTON,DC,20001,4600
3,0,Y,2,6,3,2010,1/5/16 0:00,875000,5,1620,Above Average,Good,Brick/Siding,Metal- Sms,Hardwood,2,0,1797,1521 C STREET SE,WASHINGTON,DC,20003,6802
5,2,Y,1,10,5,2003,1/5/16 0:00,3950000,2,3840,Exceptional-A,Very Good,Common Brick,Metal- Sms,Hardwood,1,6,3323,1320 31ST STREET NW,WASHINGTON,DC,20007,100
3,0,Y,1,13,4,1998,1/5/16 0:00,,4,2020,Very Good,Very Good,Wood Siding,Comp Shingle,Hardwood/Carp,1,1,8073,4220 JENIFER STREET NW,WASHINGTON,DC,20015,1100
2,0,Y,1,8,4,2015,1/5/16 0:00,,3,1500,Very Good,Good,Common Brick,Slate,Hardwood,1,1,3463,4042 FESSENDEN STREET NW,WASHINGTON,DC,20016,1100
3,1,Y,1,9,4,2012,1/5/16 0:00,,3,2338,Good Quality,Good,Common Brick,Slate,Hardwood,1,1,3930,5916 31ST PLACE NW,WASHINGTON,DC,20015,1500
2,1,N,1,6,3,,1/5/16 0:00,,2,1450,Good Quality,Average,Common Brick,Slate,Hardwood,1,1,2100,1907 KENYON STREET NW,WASHINGTON,DC,20010,2702
2,1,Y,1,7,4,2011,1/5/16 0:00,785000,2,1964,Good Quality,Good,Stucco,Comp Shingle,Hardwood,1,1,4025,1419 DECATUR STREET NW,WASHINGTON,DC,20011,2002
2,1,Y,1,7,3,2004,1/5/16 0:00,,2,2496,Good Quality,Average,Common Brick,Slate,Hardwood,1,1,5000,1409 PRIMROSE ROAD NW,WASHINGTON,DC,20012,1600
2,0,N,1,7,3,,1/5/16 0:00,,2,1254,Above Average,Average,Common Brick,Built Up,Hardwood,1,0,2471,1340 RITTENHOUSE STREET NW,WASHINGTON,DC,20011,1804
1,0,N,1,7,4,2012,1/5/16 0:00,,2,1820,Above Average,Average,Brick/Siding,Metal- Sms,Hardwood,1,0,1700,610 PRINCETON PLACE NW,WASHINGTON,DC,20010,3200
2,1,Y,1,10,4,2017,1/5/16 0:00,322280,2,2524,Above Average,Good,Wood Siding,Comp Shingle,Hardwood/Carp,1,3,7924,7130 CHESTNUT STREET NW,WASHINGTON,DC,20012,1702
3,1,Y,1,10,4,2015,1/5/16 0:00,740000,4,1660,Average,Very Good,Common Brick,Metal- Sms,Hardwood,2,0,1700,5027 4TH STREET NW,WASHINGTON,DC,20011,2202
3,1,Y,2,8,5,2015,1/5/16 0:00,940000,3,2086,Good Quality,Very Good,Common Brick,Built Up,Hardwood,2,2,1620,56 R STREET NE,WASHINGTON,DC,20002,8701
2,1,Y,1,7,4,,1/5/16 0:00,,2,1488,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,3078,13 BUCHANAN STREET NE,WASHINGTON,DC,20011,9501
1,0,N,1,6,2,,1/5/16 0:00,,2,816,Average,Average,Common Brick,Comp Shingle,Hardwood,1,0,1655,706 FARRAGUT PLACE NE,WASHINGTON,DC,20017,9509
3,1,Y,1,6,3,2015,1/5/16 0:00,585000,4,1278,Average,Very Good,Common Brick,Comp Shingle,Hardwood,1,0,6200,701 HAMILTON STREET NE,WASHINGTON,DC,20011,9508
1,1,N,1,7,3,2007,1/5/16 0:00,,4,1695,Above Average,Very Good,Vinyl Siding,Comp Shingle,Hardwood,1,1,5558,1311 LAWRENCE STREET NE,WASHINGTON,DC,20017,9301
3,1,Y,1,10,4,2015,1/5/16 0:00,662000,5,1620,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,2200,1521 TRINIDAD AVENUE NE,WASHINGTON,DC,20002,8802
1,0,Y,1,5,2,,1/5/16 0:00,322270,2,952,Average,Average,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,3816,3905 25TH PLACE NE,WASHINGTON,DC,20018,9400
1,0,Y,1,5,2,,1/5/16 0:00,190000,3,832,Average,Average,Common Brick,Built Up,Hardwood,1,0,1711,3437 CLAY STREET NE,WASHINGTON,DC,20019,9604
3,1,Y,1,6,3,,1/5/16 0:00,343000,2,1440,Above Average,Good,Stone/Siding,Comp Shingle,Hardwood/Carp,1,0,2000,5354 E STREET SE,WASHINGTON,DC,20019,9905
1,1,Y,1,5,2,2003,1/5/16 0:00,,4,832,Average,Average,Common Brick,Comp Shingle,Hardwood,1,0,2419,602 CHAPLIN STREET SE,WASHINGTON,DC,20019,9907
1,0,Y,,3,1,,1/5/16 0:00,236995,5,,,,,,,,0,285,,,,20024,11000
2,0,Y,,5,2,,1/5/16 0:00,,2,,,,,,,,0,364,,,,20392,400
1,0,Y,,2,0,1981,1/5/16 0:00,230000,5,,,,,,,,0,83,,,,20037,5600
1,0,Y,,2,0,1987,1/5/16 0:00,350000,5,,,,,,,,0,112,,,,20037,5500
2,0,Y,,4,2,,1/5/16 0:00,720000,2,,,,,,,,0,272,,,,20005,5201
1,0,Y,,3,1,2012,1/5/16 0:00,264900,3,,,,,,,,0,952,,,,20002,8804
1,0,Y,,4,1,1973,1/5/16 0:00,229000,3,,,,,,,,0,627,,,,20016,701
1,0,Y,,3,1,1980,1/5/16 0:00,371000,3,,,,,,,,1,148,,,,20009,4201
1,0,Y,,4,1,1986,1/5/16 0:00,,2,,,,,,,,0,205,,,,20016,600
2,0,Y,,4,2,2005,1/5/16 0:00,713000,4,,,,,,,,0,184,,,,20009,4400
1,0,Y,,3,1,2009,1/5/16 0:00,265000,2,,,,,,,,0,377,,,,20003,6801
2,0,Y,,4,2,2007,1/5/16 0:00,480000,3,,,,,,,,0,513,,,,20010,3000
2,0,Y,,5,2,1963,1/5/16 0:00,,4,,,,,,,,1,598,,,,20008,4100
1,0,N,1,6,2,,1/6/16 0:00,,2,1410,Average,Good,Stucco,Built Up,Hardwood,1,0,1802,1229 S STREET NW,WASHINGTON,DC,20009,4400
3,1,Y,2,5,3,1983,1/6/16 0:00,,2,1472,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,1,1550,1733 CHURCH STREET NW,WASHINGTON,DC,20036,5301
2,1,Y,2,8,3,2009,1/6/16 0:00,,4,1281,Above Average,Average,Common Brick,Built Up,Hardwood,2,0,1623,1005 S STREET NW,WASHINGTON,DC,20001,4400
2,1,N,1,6,3,,1/6/16 0:00,,3,1888,Good Quality,Average,Common Brick,Metal- Sms,Wood Floor,1,3,1800,610 F STREET NE,WASHINGTON,DC,20002,8302
3,0,Y,2,11,3,1971,1/6/16 0:00,980000,4,2239,Good Quality,Average,Common Brick,Metal- Sms,Wood Floor,2,2,1663,421 4TH STREET SE,WASHINGTON,DC,20003,6500
