BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,YR_RMDL,SALEDATE,PRICE,SALE_NUM,GBA,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,CENSUS_TRACT
4,1,Y,1,10,6,1969,3/18/16 0:00,1630000,2,3053,Very Good,Good,Common Brick,Slate,Hardwood,1,1,6131,2606 36TH STREET NW,WASHINGTON,DC,20007,400
2,1,Y,1,7,4,,3/18/16 0:00,966000,3,1874,Good Quality,Good,Common Brick,Slate,Hardwood,1,1,8754,3158 TENNYSON STREET NW,WASHINGTON,DC,20015,1500
3,2,Y,1,9,5,2015,3/18/16 0:00,,2,3198,Good Quality,Good,Brick/Stucco,Comp Shingle,Hardwood,1,0,4799,,,,20011,2600
4,0,Y,2,9,4,2006,3/18/16 0:00,825000,3,1822,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,0,2700,1325 QUINCY STREET NW,WASHINGTON,DC,20011,2502
3,1,N,2,6,2,2011,3/18/16 0:00,923737,4,1344,Above Average,Good,Common Brick,Metal- Sms,Wood Floor,2,1,1234,1317 FLORIDA AVENUE NW,WASHINGTON,DC,20009,3600
2,0,N,1,7,4,,3/18/16 0:00,,3,1330,Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,2761,607 JEFFERSON STREET NW,WASHINGTON,DC,20011,2101
2,1,Y,1,7,3,2004,3/18/16 0:00,560000,5,1332,Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,1620,318 EMERSON STREET NW,WASHINGTON,DC,20011,2202
2,0,Y,1,5,2,2016,3/18/16 0:00,299500,5,832,Average,Good,Common Brick,Comp Shingle,Hardwood,1,0,1506,3426 EADS STREET NE,WASHINGTON,DC,20019,9604
2,0,N,1,6,3,,3/18/16 0:00,,2,1152,Average,Average,Common Brick,Built Up,Hardwood,1,0,3000,4740 BLAINE STREET NE,WASHINGTON,DC,20019,7804
1,0,N,1,7,3,,3/18/16 0:00,,3,1152,Average,Average,Common Brick,Built Up,Hardwood,1,0,2083,4921 BROOKS STREET NE,WASHINGTON,DC,20019,7804
3,0,Y,1,7,4,1988,3/18/16 0:00,280000,3,1463,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1,2,7392,5025 MEADE STREET NE,WASHINGTON,DC,20019,7806
2,1,N,1,10,3,,3/18/16 0:00,215000,3,1394,Above Average,Average,Common Brick,Built Up,Hardwood,1,0,2351,2624 MINNESOTA AVENUE SE,WASHINGTON,DC,20020,7709
1,1,N,1,6,3,,3/18/16 0:00,,2,1706,Average,Average,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,1,7128,1608 28TH STREET SE,WASHINGTON,DC,20020,7604
1,0,N,1,6,3,,3/18/16 0:00,,2,928,Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,1823,1885 ALABAMA AVENUE SE,WASHINGTON,DC,20020,7403
1,0,Y,,2,0,,3/18/16 0:00,185000,2,,,,,,,,0,347,,,,20024,11000
2,1,Y,,5,3,,3/18/16 0:00,,4,,,,,,,,0,1307,,,,20020,7407
1,0,Y,,2,1,1981,3/18/16 0:00,315000,4,,,,,,,,1,278,,,,20009,4201
1,0,Y,,2,0,1980,3/18/16 0:00,280000,4,,,,,,,,0,102,,,,20036,5301
1,0,Y,,4,2,2015,3/18/16 0:00,334000,2,,,,,,,,0,617,,,,20002,8802
3,1,Y,,5,3,,3/18/16 0:00,657000,2,,,,,,,,0,1001,,,,20002,7901
1,0,Y,,4,1,,3/18/16 0:00,70000,2,,,,,,,,0,1273,,,,20020,7603
2,1,Y,,5,2,,3/18/16 0:00,735000,4,,,,,,,,0,1063,,,,20016,701
1,0,Y,,3,1,,3/18/16 0:00,475000,5,,,,,,,,0,457,,,,20016,701
1,0,Y,,4,2,2015,3/18/16 0:00,505000,2,,,,,,,,0,610,,,,20007,701
1,0,Y,,2,0,2004,3/18/16 0:00,277500,6,,,,,,,,0,74,,,,20005,5002
2,0,Y,,5,2,1979,3/18/16 0:00,657000,2,,,,,,,,1,719,,,,20005,5002
2,0,Y,,4,1,,3/18/16 0:00,700000,4,,,,,,,,0,116,,,,20001,10100
2,0,Y,,4,2,,3/18/16 0:00,733000,4,,,,,,,,0,412,,,,20009,3700
2,0,Y,,5,2,2004,3/18/16 0:00,929000,4,,,,,,,,1,555,,,,20009,3800
2,1,Y,,4,2,2015,3/18/16 0:00,614900,2,,,,,,,,0,462,,,,20001,4600
1,0,N,,4,1,2006,3/18/16 0:00,,3,,,,,,,,0,356,,,,20009,3600
1,0,Y,,3,1,,3/18/16 0:00,440000,4,,,,,,,,0,385,,,,20002,8001
2,2,Y,1,11,5,2010,3/21/16 0:00,3600000,3,3820,Excellent,Good,Brick/Siding,Built Up,Hardwood,1,1,54335,2838 CHAIN BRIDGE ROAD NW,WASHINGTON,DC,20016,902
3,1,Y,1,10,5,1989,3/21/16 0:00,1350000,4,2328,Very Good,Very Good,Brick/Stone,Slate,Hardwood,1,1,5400,4514 BRANDYWINE STREET NW,WASHINGTON,DC,20016,1001
3,1,Y,1,6,3,,3/21/16 0:00,838150,4,1537,Good Quality,Good,Wood Siding,Comp Shingle,Hardwood,1,0,3605,3211 OLIVER STREET NW,WASHINGTON,DC,20015,1500
1,1,Y,1,8,3,2006,3/21/16 0:00,,2,2280,Very Good,Good,Common Brick,Metal- Sms,Hardwood,1,1,2400,2820 27TH STREET NW,WASHINGTON,DC,20008,502
3,0,Y,1,8,4,1960,3/21/16 0:00,947830,2,2064,Very Good,Average,Common Brick,Shake,Hardwood,1,2,6300,2614 NORTHAMPTON STREET NW,WASHINGTON,DC,20015,1500
3,1,Y,1,8,5,,3/21/16 0:00,,3,3845,Very Good,Excellent,Stone/Stucco,Typical,Hardwood,1,2,9303,4226 MATHEWSON DRIVE NW,WASHINGTON,DC,20011,2600
2,1,N,1,9,2,,3/21/16 0:00,,3,1816,Good Quality,Average,Stucco,Comp Shingle,Hardwood,1,1,4269,1408 KENNEDY STREET NW,WASHINGTON,DC,20011,2001
3,1,N,4,8,4,2016,3/21/16 0:00,728707,2,3095,Good Quality,Average,Common Brick,Slate,Hardwood,4,0,5754,5506 14TH STREET NW,WASHINGTON,DC,20011,2001
2,1,Y,1,7,3,2016,3/21/16 0:00,1009800,6,1584,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,2,2501,1018 PARK ROAD NW,WASHINGTON,DC,20010,3100
1,0,N,1,7,3,,3/21/16 0:00,,2,1216,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,1880,1222 QUINCY STREET NW,WASHINGTON,DC,20011,2502
3,1,Y,1,6,3,2016,3/21/16 0:00,572500,3,1056,Above Average,Good,Common Brick,Built Up,Hardwood,1,0,1518,827 TUCKERMAN STREET NW,WASHINGTON,DC,20011,1901
1,0,N,2,6,3,,3/21/16 0:00,365000,4,1054,Above Average,Average,Common Brick,Built Up,Hardwood,2,0,1393,709 ROXBORO PLACE NW,WASHINGTON,DC,20011,1901
2,0,Y,2,7,3,2016,3/21/16 0:00,615000,3,1668,Above Average,Good,Common Brick,Built Up,Wood Floor,2,0,1669,129 ADAMS STREET NW,WASHINGTON,DC,20001,3301
2,1,Y,1,6,3,2009,3/21/16 0:00,599900,4,1344,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,2565,424 CRITTENDEN STREET NW,WASHINGTON,DC,20011,2202
3,0,Y,1,5,4,2003,3/21/16 0:00,,4,2124,Above Average,Good,Stucco,Comp Shingle,Hardwood,1,2,7500,1231 FRANKLIN STREET NE,WASHINGTON,DC,20017,9302
1,0,N,1,7,3,,3/21/16 0:00,545000,3,1260,Average,Average,Common Brick,Built Up,Hardwood,1,0,1487,1328 HOLBROOK STREET NE,WASHINGTON,DC,20002,8802
1,1,Y,1,6,2,2015,3/21/16 0:00,398000,3,1835,Average,Good,Common Brick,Comp Shingle,Hardwood/Carp,1,0,7121,2223 BUNKER HILL ROAD NE,WASHINGTON,DC,20018,9400
2,2,Y,1,8,4,,3/21/16 0:00,641500,3,2548,Above Average,Good,Common Brick,Slate,Hardwood,1,2,6825,1821 SHEPHERD STREET NE,WASHINGTON,DC,20018,9400
3,0,Y,1,6,3,,3/21/16 0:00,274900,3,1350,Above Average,Good,Common Brick,Built Up,Hardwood/Carp,1,0,1721,760 WATER LILY LANE NE,WASHINGTON,DC,20019,9602
2,1,Y,1,6,4,2016,3/21/16 0:00,305000,7,1224,Above Average,Good,Vinyl Siding,Comp Shingle,Hardwood,1,1,3500,332 58TH STREET NE,WASHINGTON,DC,20019,7808
3,0,Y,1,7,3,2013,3/21/16 0:00,500000,5,1748,Above Average,Very Good,Common Brick,Slate,Hardwood/Carp,1,2,5000,3126 PENNSYLVANIA AVENUE SE,WASHINGTON,DC,20020,9901
1,0,Y,1,6,2,2016,3/21/16 0:00,192000,3,832,Average,Good,Common Brick,Comp Shingle,Hardwood,1,0,1570,4335 GORMAN TERRACE SE,WASHINGTON,DC,20019,9907
2,1,Y,1,8,4,2016,3/21/16 0:00,174900,3,1320,Above Average,Good,Common Brick,Metal- Sms,Hardwood/Carp,1,0,1470,1438 RIDGE PLACE SE,WASHINGTON,DC,20020,7601
2,1,Y,1,7,3,,3/21/16 0:00,,2,1346,Above Average,Excellent,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,1071,822 H R DRIVE SE,WASHINGTON,DC,20032,9700
3,1,Y,1,7,3,,3/21/16 0:00,329999,3,1602,Average,Very Good,Brick/Siding,Composition Ro,Hardwood,1,0,2464,154 FORRESTER STREET SW,WASHINGTON,DC,20032,9807
2,1,Y,1,6,3,,3/21/16 0:00,,3,1224,Average,Average,Common Brick,Built Up,Hardwood,1,0,2255,733 UPSAL STREET SE,WASHINGTON,DC,20032,9804
1,0,Y,,2,0,,3/21/16 0:00,,6,,,,,,,,0,347,,,,20024,11000
1,0,Y,,4,1,2015,3/21/16 0:00,225000,1,,,,,,,,0,486,,,,20011,2202
1,0,Y,,3,1,2010,3/21/16 0:00,327000,3,,,,,,,,0,339,,,,20011,2400
2,1,Y,,4,2,2016,3/21/16 0:00,601600,2,,,,,,,,0,910,,,,20002,8002
1,0,Y,,3,1,,3/21/16 0:00,239900,4,,,,,,,,0,202,,,,20007,801
1,0,Y,,2,0,1987,3/21/16 0:00,305000,5,,,,,,,,0,103,,,,20037,5500
1,1,Y,,4,1,1978,3/21/16 0:00,602000,4,,,,,,,,0,296,,,,20009,4201
1,0,Y,,4,1,2015,3/21/16 0:00,274950,2,,,,,,,,0,576,,,,20002,8802
1,0,N,,3,1,2003,3/21/16 0:00,,3,,,,,,,,0,463,,,,20016,701
1,0,Y,,5,1,1982,3/21/16 0:00,462000,4,,,,,,,,0,1524,,,,20016,1002
1,0,Y,,3,1,2008,3/21/16 0:00,,3,,,,,,,,0,493,,,,20011,2502
3,0,Y,,6,3,2015,3/21/16 0:00,525000,2,,,,,,,,0,982,,,,20002,8701
2,0,Y,,4,2,,3/21/16 0:00,,4,,,,,,,,1,702,,,,20009,3900
2,0,Y,,4,2,,3/21/16 0:00,715000,2,,,,,,,,0,895,,,,20002,8001
1,1,Y,,4,2,1994,3/21/16 0:00,439000,3,,,,,,,,1,334,,,,20003,6700
1,0,Y,,3,1,2006,3/21/16 0:00,,4,,,,,,,,0,132,,,,20001,4902
2,0,Y,,4,1,,3/21/16 0:00,575000,4,,,,,,,,0,31,,,,20004,5800
8,0,Y,4,16,8,2008,3/22/16 0:00,,4,3050,Good Quality,Good,Common Brick,Built Up,Hardwood,4,0,1667,1513 T STREET NW,WASHINGTON,DC,20009,4300
2,1,Y,2,7,2,2008,3/22/16 0:00,,3,1260,Good Quality,Good,Common Brick,Built Up,Hardwood,2,1,943,1503 1/2 CHURCH STREET NW,WASHINGTON,DC,20005,5201
1,1,N,1,6,3,,3/22/16 0:00,,2,2350,Good Quality,Average,Common Brick,Built Up,Hardwood/Carp,1,0,2000,218 N STREET NW,WASHINGTON,DC,20001,4600
2,0,Y,1,5,2,1989,3/22/16 0:00,829000,3,1496,Good Quality,Average,Common Brick,Metal- Sms,Hardwood/Carp,1,0,1200,1207 W STREET NW,WASHINGTON,DC,20009,4400
2,0,N,2,5,2,1962,3/22/16 0:00,719000,3,900,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,2,522,419 A STREET NE,WASHINGTON,DC,20002,8200
3,1,Y,2,10,5,1970,3/22/16 0:00,1100000,3,1836,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2,1,1502,702 EAST CAPITOL STREET NE,WASHINGTON,DC,20003,8200
4,1,Y,1,8,4,2005,3/22/16 0:00,1011000,3,1360,Good Quality,Very Good,Common Brick,Metal- Sms,Hardwood,2,1,1615,2052 37TH STREET NW,WASHINGTON,DC,20007,300
3,0,N,3,9,6,,3/22/16 0:00,1200000,3,2014,Superior,Good,Common Brick,Metal- Sms,Hardwood,3,0,1665,1681 35TH STREET NW,WASHINGTON,DC,20007,202
3,1,Y,1,6,3,,3/22/16 0:00,,4,1620,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,2,1,1944,2220 TUNLAW ROAD NW,WASHINGTON,DC,20007,300
1,0,N,1,7,3,,3/22/16 0:00,650000,4,1388,Good Quality,Fair,Common Brick,Metal- Sms,Hardwood,1,0,1506,3733 BENTON STREET NW,WASHINGTON,DC,20007,300
2,0,Y,1,7,3,2011,3/22/16 0:00,879000,7,1596,Average,Very Good,Common Brick,Metal- Sms,Hardwood,2,1,1392,212 14TH PLACE NE,WASHINGTON,DC,20002,8002
3,0,Y,1,12,6,1988,3/22/16 0:00,,2,2419,Very Good,Average,Common Brick,Slate,Hardwood,1,1,2266,1614 44TH STREET NW,WASHINGTON,DC,20007,802
3,1,Y,1,6,3,2013,3/22/16 0:00,875000,4,1190,Excellent,Very Good,Common Brick,Built Up,Hardwood/Carp,1,1,1525,4401 MACARTHUR BOULEVARD NW,WASHINGTON,DC,20007,802
3,2,Y,1,9,5,1994,3/22/16 0:00,1300000,2,2127,Excellent,Good,Stone/Stucco,Slate,Hardwood,1,2,2880,3823 CATHEDRAL AVENUE NW,WASHINGTON,DC,20016,701
1,0,N,1,8,4,,3/22/16 0:00,,2,1472,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1713,524 COLUMBIA ROAD NW,WASHINGTON,DC,20001,3200
1,0,N,1,6,3,,3/22/16 0:00,,2,1280,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,2850,415 ALLISON STREET NW,WASHINGTON,DC,20011,2301
2,1,N,1,8,3,,3/22/16 0:00,,3,1892,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,2374,529 QUINCY STREET NW,WASHINGTON,DC,20011,2400
1,0,N,1,6,3,,3/22/16 0:00,510000,3,1280,Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1967,5116 KANSAS AVENUE NW,WASHINGTON,DC,20011,2102
3,1,Y,1,7,3,2006,3/22/16 0:00,384500,5,1070,Average,Good,Common Brick,Comp Shingle,Carpet,1,0,2125,826 DELAFIELD STREET NE,WASHINGTON,DC,20017,9509
1,1,Y,1,6,3,,3/22/16 0:00,,3,1088,Average,Good,Common Brick,Built Up,Hardwood,1,0,1390,6309 NORTH CAPITOL STREET NE,WASHINGTON,DC,20011,9505
2,1,Y,1,6,4,2016,3/22/16 0:00,399000,3,1584,Average,Good,Vinyl Siding,Comp Shingle,Hardwood,1,0,5000,1115 50TH STREET NE,WASHINGTON,DC,20019,7806
1,0,N,1,5,2,,3/22/16 0:00,225000,2,1843,Above Average,Average,Brick/Stone,Comp Shingle,Hardwood,1,1,13163,1841 ALABAMA AVENUE SE,WASHINGTON,DC,20020,7403
2,0,Y,,4,2,2004,3/22/16 0:00,791500,5,,,,,,,,0,384,,,,20009,4202
2,0,Y,,4,2,2006,3/22/16 0:00,1379000,3,,,,,,,,0,470,,,,20037,5500
2,0,Y,,4,2,,3/22/16 0:00,,3,,,,,,,,0,193,,,,20037,5500
1,0,Y,,3,1,2005,3/22/16 0:00,,5,,,,,,,,0,512,,,,20002,7903
1,0,Y,,3,1,,3/22/16 0:00,,4,,,,,,,,0,250,,,,20016,1001
1,0,Y,,4,1,1978,3/22/16 0:00,,2,,,,,,,,0,237,,,,20015,1100
1,0,N,,5,2,,3/22/16 0:00,325000,4,,,,,,,,0,371,,,,20007,702
1,0,Y,,4,2,2002,3/22/16 0:00,462500,6,,,,,,,,1,398,,,,20005,5002
1,0,Y,,3,1,2005,3/22/16 0:00,,3,,,,,,,,0,608,,,,20009,3600
1,0,Y,,4,2,1979,3/22/16 0:00,485000,4,,,,,,,,0,441,,,,20010,2701
2,1,Y,,5,2,,3/22/16 0:00,960000,2,,,,,,,,0,1588,,,,20010,3100
2,0,Y,,5,3,,3/22/16 0:00,751237,2,,,,,,,,0,1298,,,,20010,3100
2,0,Y,,6,3,,3/22/16 0:00,1150000,2,,,,,,,,0,1599,,,,20010,3100
1,0,Y,,3,1,2015,3/22/16 0:00,425000,2,,,,,,,,0,293,,,,20009,3700
2,0,Y,,4,2,2003,3/22/16 0:00,510000,5,,,,,,,,0,347,,,,20001,3301
2,0,Y,,4,1,,3/22/16 0:00,,3,,,,,,,,0,12,,,,20001,4701
2,0,Y,,5,3,,3/22/16 0:00,740000,2,,,,,,,,0,895,,,,20002,8001
2,1,Y,,5,2,1980,3/22/16 0:00,1435700,5,,,,,,,,1,435,,,,20009,4001
2,0,Y,,4,2,,3/22/16 0:00,,3,,,,,,,,1,600,,,,20009,4001
1,0,Y,,4,1,2005,3/22/16 0:00,,4,,,,,,,,0,91,,,,20001,4702
4,1,Y,2,9,5,1981,3/23/16 0:00,,2,2424,Very Good,Average,Common Brick,Composition Ro,Hardwood/Carp,2,3,1085,2105 O STREET NW,WASHINGTON,DC,20037,5500
3,0,Y,1,8,5,1985,3/23/16 0:00,1505000,2,2520,Good Quality,Good,Stucco,Metal- Sms,Hardwood,1,2,2000,1613 19TH STREET NW,WASHINGTON,DC,20009,4202
2,1,Y,1,6,3,2016,3/23/16 0:00,880000,3,1440,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,1238,437 RIDGE STREET NW,WASHINGTON,DC,20001,4802
3,1,Y,1,5,4,2016,3/23/16 0:00,,4,1112,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,1471,639 SOUTH CAROLINA AVENUE SE,WASHINGTON,DC,20003,7000
2,1,Y,1,6,3,2007,3/23/16 0:00,670000,4,1600,Average,Very Good,Common Brick,Built Up,Hardwood,1,1,1292,904 13TH STREET NE,WASHINGTON,DC,20002,8410
2,1,Y,2,8,4,2010,3/23/16 0:00,990000,6,1336,Good Quality,Good,Common Brick,Neopren,Hardwood,2,2,1209,251 1/2 10TH STREET NE,WASHINGTON,DC,20002,8100
1,1,Y,1,6,2,2007,3/23/16 0:00,522000,4,944,Average,Good,Common Brick,Built Up,Hardwood,1,0,681,1350 C STREET NE,WASHINGTON,DC,20002,8001
1,1,Y,1,5,3,2004,3/23/16 0:00,962500,4,1133,Exceptional-A,Good,Common Brick,Built Up,Hardwood,1,1,573,2706 DUMBARTON STREET NW,WASHINGTON,DC,20007,100
4,0,Y,1,7,4,2001,3/23/16 0:00,1195000,3,1880,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1,2,6060,4816 CALVERT STREET NW,WASHINGTON,DC,20007,801
3,1,Y,1,11,5,2017,3/23/16 0:00,1375000,3,2280,Good Quality,Good,Common Brick,Slate,Hardwood,1,1,4433,3720 YUMA STREET NW,WASHINGTON,DC,20016,1200
1,2,N,1,8,3,2000,3/23/16 0:00,277363,2,1492,Above Average,Average,Common Brick,Slate,Hardwood,1,1,3878,3706 APPLETON STREET NW,WASHINGTON,DC,20016,1200
3,1,Y,2,7,5,,3/23/16 0:00,565000,5,2088,Above Average,Average,Common Brick,Metal- Sms,Hardwood,2,0,1700,800 CRITTENDEN STREET NW,WASHINGTON,DC,20011,2201
1,0,N,1,7,3,,3/23/16 0:00,500000,3,1280,Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,2172,4605 GEORGIA AVENUE NW,WASHINGTON,DC,20011,2201
1,1,N,1,7,4,,3/23/16 0:00,560000,3,1504,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1,0,3921,612 OGLETHORPE STREET NW,WASHINGTON,DC,20011,1901
3,1,Y,1,6,3,2011,3/23/16 0:00,589000,3,1400,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,1620,5013 7TH PLACE NW,WASHINGTON,DC,20011,2201
2,0,N,1,7,3,,3/23/16 0:00,,3,1260,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,2886,16 INGRAHAM STREET NW,WASHINGTON,DC,20011,2102
3,1,Y,1,7,4,2016,3/23/16 0:00,803000,6,1368,Above Average,Very Good,Common Brick,Built Up,Hardwood,1,0,1836,168 TODD PLACE NE,WASHINGTON,DC,20002,8701
1,0,Y,1,5,2,,3/23/16 0:00,335000,3,900,Average,Good,Common Brick,Built Up,Hardwood,1,0,1679,250 NICHOLSON STREET NE,WASHINGTON,DC,20011,9505
1,1,Y,1,7,3,,3/23/16 0:00,425000,4,1256,Average,Average,Common Brick,Comp Shingle,Hardwood,1,1,3139,6328 EASTERN AVENUE NE,WASHINGTON,DC,20011,9505
2,1,N,1,8,3,2015,3/23/16 0:00,649000,5,1080,Above Average,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,1528,337 18TH PLACE NE,WASHINGTON,DC,20002,7901
1,1,Y,1,6,3,2016,3/23/16 0:00,230000,2,1080,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,1200,4334 GAULT PLACE NE,WASHINGTON,DC,20019,7803
1,0,N,1,6,3,,3/23/16 0:00,249900,3,1125,Average,Average,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,3750,2517 PARK PLACE SE,WASHINGTON,DC,20020,7604
4,1,Y,1,12,4,2016,3/23/16 0:00,470000,4,3457,Good Quality,Good,Common Brick,Comp Shingle,Hardwood,1,1,8638,2200 32ND PLACE SE,WASHINGTON,DC,20020,7604
1,0,Y,1,4,2,,3/23/16 0:00,,3,832,Average,Average,Common Brick,Comp Shingle,Hardwood,1,1,1528,612 SOUTHERN AVENUE SE,WASHINGTON,DC,20032,9811
1,0,Y,,3,1,2008,3/23/16 0:00,,3,,,,,,,,0,509,,,,20003,6802
1,0,Y,,3,1,1978,3/23/16 0:00,402000,4,,,,,,,,0,141,,,,20036,5301
2,1,Y,,4,2,1985,3/23/16 0:00,930000,4,,,,,,,,2,909,,,,20009,5301
1,0,Y,,4,2,2006,3/23/16 0:00,60000,4,,,,,,,,0,373,,,,20019,7803
1,0,Y,,3,1,1982,3/23/16 0:00,335000,3,,,,,,,,0,908,,,,20016,1002
1,1,Y,,4,1,,3/23/16 0:00,535000,3,,,,,,,,1,521,,,,20009,4001
2,1,Y,,5,2,,3/23/16 0:00,950000,2,,,,,,,,0,1588,,,,20010,3100
1,0,Y,,3,1,2015,3/23/16 0:00,355000,2,,,,,,,,0,293,,,,20009,3700
1,0,Y,,4,1,,3/23/16 0:00,,3,,,,,,,,0,266,,,,20003,7100
1,0,Y,,4,2,,3/23/16 0:00,420000,2,,,,,,,,0,342,,,,20003,7100
2,1,Y,,5,2,2016,3/23/16 0:00,656250,2,,,,,,,,0,788,,,,20002,10600
4,0,Y,4,18,6,1981,3/24/16 0:00,,3,3300,Very Good,Average,Common Brick,Metal- Sms,Hardwood,4,0,1800,1317 T STREET NW,WASHINGTON,DC,20009,4400
2,1,Y,1,6,2,2011,3/24/16 0:00,,3,1288,Good Quality,Very Good,Face Brick,Neopren,Hardwood/Carp,1,1,815,728 9TH STREET SE,WASHINGTON,DC,20003,7000
4,1,Y,3,15,5,,3/24/16 0:00,,2,3921,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,3,1,1894,215 12TH STREET NE,WASHINGTON,DC,20002,8002
2,1,Y,1,6,3,1995,3/24/16 0:00,,3,1386,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,1,1590,551 14TH STREET SE,WASHINGTON,DC,20003,6900
1,0,Y,1,6,3,1989,3/24/16 0:00,622500,5,1186,Average,Good,Common Brick,Built Up,Hardwood,1,1,1493,124 16TH STREET SE,WASHINGTON,DC,20003,6801
4,0,N,1,10,4,2003,3/24/16 0:00,,2,3045,Superior,Good,Common Brick,Metal- Sms,Hardwood,1,3,4000,3410 P STREET NW,WASHINGTON,DC,20007,202
3,0,Y,1,6,3,2004,3/24/16 0:00,,4,1640,Above Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,1589,543 KENTUCKY AVENUE SE,WASHINGTON,DC,20003,6900
3,0,Y,1,6,3,2000,3/24/16 0:00,,3,2140,Excellent,Good,Common Brick,Typical,Hardwood,1,1,1380,1515 26TH STREET NW,WASHINGTON,DC,20007,100
2,0,Y,1,6,3,2011,3/24/16 0:00,,3,1320,Good Quality,Average,Common Brick,Slate,Hardwood,1,2,3965,4425 RIVER ROAD NW,WASHINGTON,DC,20016,1001
3,1,N,1,12,8,,3/24/16 0:00,,2,1840,Very Good,Average,Brick/Stucco,Built Up,Hardwood,1,1,3206,1764 LANIER PLACE NW,WASHINGTON,DC,20009,3900
2,2,Y,1,6,3,2015,3/24/16 0:00,,3,1449,Very Good,Good,Common Brick,Slate,Hardwood,1,1,6432,7230 15TH PLACE NW,WASHINGTON,DC,20012,1600
2,0,N,1,6,4,,3/24/16 0:00,450100,2,1254,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,2410,1342 RITTENHOUSE STREET NW,WASHINGTON,DC,20011,1804
2,0,N,1,7,3,,3/24/16 0:00,,5,1054,Above Average,Average,Common Brick,Built Up,Hardwood,1,0,1760,520 TUCKERMAN STREET NW,WASHINGTON,DC,20011,1901
3,1,Y,1,9,4,2013,3/24/16 0:00,828000,3,1644,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,1532,610 UPSHUR STREET NW,WASHINGTON,DC,20011,2400
1,0,N,1,6,3,,3/24/16 0:00,,2,1420,Above Average,Average,Common Brick,Metal- Sms,Wood Floor,1,0,2200,3810 7TH STREET NW,WASHINGTON,DC,20011,2400
4,0,Y,4,12,4,,3/24/16 0:00,470000,7,2766,Average,Average,Common Brick,Metal- Sms,Hardwood,4,0,2304,1148 OWEN PLACE NE,WASHINGTON,DC,20002,8802
1,1,Y,1,7,3,,3/24/16 0:00,334140,4,1750,Average,Average,Common Brick,Comp Shingle,Hardwood,1,0,3383,5006 EASTERN AVENUE NE,WASHINGTON,DC,20017,9508
1,2,Y,1,6,3,1980,3/24/16 0:00,409551,4,1264,Average,Average,Common Brick,Built Up,Carpet,1,0,3153,5102 12TH STREET NE,WASHINGTON,DC,20011,9508
1,0,N,1,6,3,,3/24/16 0:00,,2,1756,Above Average,Average,Wood Siding,Comp Shingle,Wood Floor,1,0,5886,2205 EVARTS STREET NE,WASHINGTON,DC,20018,11100
2,0,N,2,7,4,,3/24/16 0:00,553000,4,1496,Above Average,Average,Brick/Siding,Built Up,Hardwood,2,0,1743,1627 D STREET NE,WASHINGTON,DC,20002,7901
2,0,Y,1,10,5,1987,3/24/16 0:00,,3,2979,Very Good,Good,Stucco,Clay Tile,Hardwood,1,1,14471,2525 32ND STREET SE,WASHINGTON,DC,20020,7603
2,0,N,2,10,4,1968,3/24/16 0:00,,6,1600,Average,Average,Common Brick,Built Up,Hardwood,2,0,6041,4801 1ST STREET SW,WASHINGTON,DC,20032,10900
2,0,Y,,5,2,2014,3/24/16 0:00,203542,2,,,,,,,,0,1658,,,,20020,7504
1,0,Y,,2,0,,3/24/16 0:00,210000,4,,,,,,,,0,305,,,,20007,100
