Census Tracts,grade_5_english_75,grade_5_english_25,grade_5_math_75,grade_5_math_25,grade_8_english_75,grade_8_english_25,grade_8_math_75,grade_8_math_25,grade_8_english_75,grade_8_english_25,grade_8_math_75,grade_8_math_25,,Total
7400.09,0,0,0,0,0,0,0,0,0,0,0,0,,0
7500.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
7500.03,0,0,0,1,0,0,0,0,0,0,0,0,,1
7500.04,0,0,0,0,0,0,0,0,0,0,0,0,,0
7600.01,0,1,0,0,0,0,0,0,0,0,0,0,,1
7600.03,0,0,0,0,0,0,0,0,0,0,0,0,,0
7600.04,0,1,0,2,0,0,0,0,0,0,0,0,,3
7600.05,0,0,0,0,0,0,0,0,0,0,0,0,,0
7700.03,0,0,0,0,0,1,0,2,0,1,0,1,,5
7700.07,0,0,0,0,0,0,0,0,0,0,0,0,,0
7700.08,0,0,0,0,0,0,0,0,0,0,0,0,,0
7700.09,0,0,0,0,0,0,0,0,0,0,0,0,,0
7800.03,0,0,0,0,0,0,0,0,0,1,0,1,,2
7800.04,0,1,0,1,0,0,0,1,0,0,0,0,,3
7800.06,0,0,0,0,0,0,0,0,0,1,0,1,,2
7800.07,0,1,0,0,0,0,0,0,0,0,0,0,,1
7800.08,0,1,0,1,0,0,0,0,0,0,0,0,,2
7800.09,0,0,0,0,0,0,0,0,0,0,0,0,,0
7900.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
7900.03,0,1,0,1,0,1,1,1,0,0,0,0,,5
8000.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
8000.02,1,1,1,1,0,0,0,0,0,0,0,0,,4
8100,0,0,0,0,0,0,0,0,0,0,0,0,,0
8200,0,0,0,0,0,0,0,0,0,0,0,0,,0
8300.01,0,0,0,0,0,1,0,1,0,0,2,2,,6
8300.02,1,1,1,1,0,0,0,0,0,0,0,0,,4
8400.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
8400.1,0,0,0,0,0,0,0,0,0,0,0,0,,0
8700.01,0,0,0,0,0,1,0,1,1,1,0,1,,5
8700.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
8800.02,0,0,0,0,0,1,0,1,0,0,0,0,,2
8800.03,0,0,0,0,0,0,0,0,1,1,0,1,,3
8800.04,0,1,0,1,1,1,0,1,0,0,0,0,,5
8900.03,0,0,0,0,0,0,0,0,0,0,0,0,,0
8900.04,0,0,0,0,0,0,0,1,0,1,0,1,,3
9000,0,0,0,0,0,0,0,0,0,0,0,0,,0
9100.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
9200.01,0,1,0,1,0,0,0,0,0,0,0,0,,2
9200.03,0,0,0,0,0,0,0,0,0,0,0,0,,0
9200.04,0,1,0,1,0,0,0,1,0,0,0,0,,3
9300.01,0,1,0,1,0,0,0,0,0,0,0,0,,2
9300.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
9400,0,1,0,1,0,0,0,0,0,0,0,0,,2
9500.01,1,1,1,1,0,0,0,0,0,0,0,0,,4
9500.03,0,0,0,0,0,0,0,0,0,0,0,0,,0
9500.04,1,1,0,1,0,0,0,0,0,0,0,2,,5
9500.05,0,1,0,0,0,0,0,0,0,0,0,0,,1
9500.07,0,0,0,1,0,1,0,1,0,0,0,0,,3
9500.08,1,1,1,1,0,0,0,0,0,0,0,0,,4
9500.09,0,0,0,0,0,0,0,0,0,0,0,0,,0
9600.01,0,0,0,0,0,0,0,0,0,0,0,0,,0
9600.02,0,1,0,1,0,1,0,1,0,1,0,0,,5
9600.03,1,2,1,2,1,1,1,1,0,0,0,0,,10
9600.04,0,0,0,0,0,0,0,0,0,0,0,0,,0
9700,0,0,0,0,0,0,0,0,0,0,0,0,,0
9800.01,0,1,0,0,1,1,0,1,0,0,0,0,,4
9800.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
9800.03,0,0,0,0,0,0,0,0,0,1,0,0,,1
9800.04,0,0,0,0,0,0,0,0,0,1,0,1,,2
9800.07,0,1,0,0,0,0,0,0,0,0,0,0,,1
9800.1,0,0,0,0,0,0,0,0,0,0,0,0,,0
9800.11,0,0,0,0,0,0,0,0,0,0,0,1,,1
9900.01,0,0,0,1,0,0,0,0,0,0,0,0,,1
9900.02,0,0,0,0,0,0,0,0,0,0,0,0,,0
9900.03,0,0,0,0,0,0,0,0,0,0,0,0,,0
9900.04,0,1,0,1,0,0,0,0,0,0,0,0,,2
